block_id,drug_row,drug_col,cell_line_name,ic50_row,ic50_col,ri_row,ri_col,css_row,css_col,css_ri,S_sum,S_mean,S_max,synergy_bliss,drug_row_clinical_phase,drug_col_clinical_phase,MW_row,LogP_row,NumHDonors_row,NumHAcceptors_row,MW_col,LogP_col,NumHDonors_col,NumHAcceptors_col
16145,5-Fluorouracil,Veliparib,1,10.0,10.0,19.098,-1.661,23.201,35.158,29.1795,11.7425,20.461,10.0815,-0.719084799,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
16146,5-Fluorouracil,Veliparib,1,10.0,10.0,19.098,-1.661,16.258,30.871,23.5645,6.1275,14.846,4.4665,-2.566209799,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
16147,5-Fluorouracil,Veliparib,1,10.0,10.0,19.098,-1.661,23.611,40.58,32.0955,14.6585,23.377,12.9975,5.958665201,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
16148,5-Fluorouracil,Veliparib,1,10.0,10.0,19.098,-1.661,19.803,33.467,26.635,9.198,17.9165,7.537,0.590165201,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
27701,5-Fluorouracil,Veliparib,2,8.055628684,3.896131539,22.529,5.58,29.098,41.526,35.312,7.203,21.2575,12.783,-5.484395296,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
27702,5-Fluorouracil,Veliparib,2,8.055628684,3.896131539,22.529,5.58,24.654,38.375,31.5145,3.4055,17.46,8.9855,-4.094645296,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
27703,5-Fluorouracil,Veliparib,2,8.055628684,3.896131539,22.529,5.58,35.289,40.053,37.671,9.562,23.6165,15.142,4.883417204,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
27704,5-Fluorouracil,Veliparib,2,8.055628684,3.896131539,22.529,5.58,28.687,40.587,34.637,6.528,20.5825,12.108,-1.333145296,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
34461,5-Fluorouracil,Veliparib,3,1.194144616,10.0,29.676,8.421,38.144,32.553,35.3485,-2.7485,16.3,5.6725,-2.653631141,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
34462,5-Fluorouracil,Veliparib,3,1.194144616,10.0,29.676,8.421,34.871,28.807,31.839,-6.258,12.7905,2.163,-4.300318641,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
34463,5-Fluorouracil,Veliparib,3,1.194144616,10.0,29.676,8.421,41.661,31.992,36.8265,-1.2705,17.778,7.1505,-0.117818641,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
34464,5-Fluorouracil,Veliparib,3,1.194144616,10.0,29.676,8.421,36.292,32.494,34.393,-3.704,15.3445,4.717,-3.458631141,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
50301,5-Fluorouracil,Veliparib,4,2.371183893,0.00034068,19.291,2.832,15.727,20.315,18.021,-4.102,6.9595,-1.27,-3.195589982,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
50302,5-Fluorouracil,Veliparib,4,2.371183893,0.00034068,19.291,2.832,17.014,24.989,21.0015,-1.1215,9.94,1.7105,-3.635089982,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
50303,5-Fluorouracil,Veliparib,4,2.371183893,0.00034068,19.291,2.832,18.421,25.222,21.8215,-0.3015,10.76,2.5305,2.077347518,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
50304,5-Fluorouracil,Veliparib,4,2.371183893,0.00034068,19.291,2.832,17.37,24.823,21.0965,-1.0265,10.035,1.8055,-4.320464982,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
75877,5-Fluorouracil,Veliparib,5,0.889435045,3.299551849,18.148,-2.15,21.298,10.121,15.7095,-0.2885,7.7105,-2.4385,4.160560746,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
75878,5-Fluorouracil,Veliparib,5,0.889435045,3.299551849,18.148,-2.15,19.861,17.42,18.6405,2.6425,10.6415,0.4925,1.414873246,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
75879,5-Fluorouracil,Veliparib,5,0.889435045,3.299551849,18.148,-2.15,27.671,23.782,25.7265,9.7285,17.7275,7.5785,15.64893575,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
75880,5-Fluorouracil,Veliparib,5,0.889435045,3.299551849,18.148,-2.15,5.708,3.839,4.7735,-11.2245,-3.2255,-13.3745,-3.572501754,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
87309,5-Fluorouracil,Veliparib,6,1.512728209,10.0,27.282,7.916,34.554,18.33,26.442,-8.756,8.843,-0.84,-10.27592878,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
87310,5-Fluorouracil,Veliparib,6,1.512728209,10.0,27.282,7.916,22.799,22.775,22.787,-12.411,5.188,-4.495,-9.916116277,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
87311,5-Fluorouracil,Veliparib,6,1.512728209,10.0,27.282,7.916,21.771,9.348,15.5595,-19.6385,-2.0395,-11.7225,-8.056553777,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
87312,5-Fluorouracil,Veliparib,6,1.512728209,10.0,27.282,7.916,25.737,6.276,16.0065,-19.1915,-1.5925,-11.2755,-9.862116277,4,3,130.078,-0.7977000000000001,2.0,2.0,244.29800000000003,1.2603999999999995,3.0,3.0
16149,5-Fluorouracil,MK-1775,1,10.0,0.5,19.098,18.683,54.555,36.408,45.4815,7.7005,26.591,26.3835,-5.78100562,4,2,130.078,-0.7977000000000001,2.0,2.0,500.6070000000003,2.886000000000001,2.0,10.0
16150,5-Fluorouracil,MK-1775,1,10.0,0.5,19.098,18.683,51.483,40.941,46.212,8.431,27.3215,27.114,-7.56338062,4,2,130.078,-0.7977000000000001,2.0,2.0,500.6070000000003,2.886000000000001,2.0,10.0
16151,5-Fluorouracil,MK-1775,1,10.0,0.5,19.098,18.683,60.817,40.362,50.5895,12.8085,31.699,31.4915,1.16761938,4,2,130.078,-0.7977000000000001,2.0,2.0,500.6070000000003,2.886000000000001,2.0,10.0
16152,5-Fluorouracil,MK-1775,1,10.0,0.5,19.098,18.683,60.684,43.641,52.1625,14.3815,33.272,33.0645,2.99999438,4,2,130.078,-0.7977000000000001,2.0,2.0,500.6070000000003,2.886000000000001,2.0,10.0
27705,5-Fluorouracil,MK-1775,2,8.055628684,0.185161199,22.529,15.884,36.166,35.939,36.0525,-2.3605,16.846,13.5235,-5.101659739,4,2,130.078,-0.7977000000000001,2.0,2.0,500.6070000000003,2.886000000000001,2.0,10.0
27706,5-Fluorouracil,MK-1775,2,8.055628684,0.185161199,22.529,15.884,32.516,42.041,37.2785,-1.1345,18.072,14.7495,-6.871347239,4,2,130.078,-0.7977000000000001,2.0,2.0,500.6070000000003,2.886000000000001,2.0,10.0
27707,5-Fluorouracil,MK-1775,2,8.055628684,0.185161199,22.529,15.884,40.529,41.51,41.0195,2.6065,21.813,18.4905,0.104027761,4,2,130.078,-0.7977000000000001,2.0,2.0,500.6070000000003,2.886000000000001,2.0,10.0
